系别	英雄	成员	战力	组别	
宇宙	安吉拉	瑪嘉烈		二组	
宇宙	黑蝠王	瑪嘉烈	2726	二组	
宇宙	惊奇队长	瑪嘉烈	2730	二组	
宇宙	杀戮	瑪嘉烈		二组	
宇宙	德拉克斯	瑪嘉烈	3041	二组	
宇宙	卡莫拉	瑪嘉烈		二组	
宇宙	格鲁特	瑪嘉烈	2768	二组	
宇宙	超人	瑪嘉烈	5565	二组	
宇宙	黑妹	瑪嘉烈	2873	二组	
宇宙	king格鲁特	瑪嘉烈		二组	
宇宙	惊奇小姐	瑪嘉烈	4140	二组	
宇宙	凤凰	瑪嘉烈	3754	二组	
宇宙	罗南	瑪嘉烈		二组	
宇宙	共生体	瑪嘉烈	2833	二组	
宇宙	究极钢铁侠	瑪嘉烈	4289	二组	
宇宙	灭霸	瑪嘉烈		二组	
宇宙	雷神	瑪嘉烈		二组	
宇宙	毒液	瑪嘉烈	2665	二组	
宇宙	毒液死侍	瑪嘉烈	2831	二组	
科技	内战勇士	瑪嘉烈		二组	
科技	霍华德	瑪嘉烈	2959	二组	
科技	浩克毁灭者	瑪嘉烈	3209	二组	
科技	钢铁侠	瑪嘉烈	4006	二组	
科技	钢铁爱国者	瑪嘉烈	2961	二组	
科技	康	瑪嘉烈		二组	
科技	星云	瑪嘉烈		二组	
科技	punisher2099	瑪嘉烈		二组	
科技	浣熊	瑪嘉烈		二组	
科技	科技蜘蛛	瑪嘉烈		二组	
科技	星爵	瑪嘉烈	3998	二组	
科技	影幻	瑪嘉烈		二组	
科技	奥创	瑪嘉烈		二组	
科技	漫幻	瑪嘉烈		二组	
科技	秃鹰	瑪嘉烈		二组	
科技	战争机器	瑪嘉烈		二组	
科技	勇度	瑪嘉烈		二组	
格斗	毒液特工	瑪嘉烈	2969	二组	
格斗	黑豹	瑪嘉烈	2984	二组	
格斗	内战黑豹	瑪嘉烈	2870	二组	
格斗	黑寡妇	瑪嘉烈		二组	
格斗	交叉骨	瑪嘉烈		二组	
格斗	夜魔侠	瑪嘉烈	3138	二组	
格斗	非经典夜魔侠	瑪嘉烈	3018	二组	
格斗	艾丽卡	瑪嘉烈	2893	二组	
格斗	猎鹰	瑪嘉烈	2146	二组	
格斗	格纹死侍	瑪嘉烈		二组	
格斗	鹰眼	瑪嘉烈	3640	二组	
格斗	卡尔耐克	瑪嘉烈	3169	二组	
格斗	月光骑士	瑪嘉烈	2714	二组	
格斗	惩罚者	瑪嘉烈		二组	
格斗	冬兵	瑪嘉烈	5248	二组	
生化	恶煞	瑪嘉烈	3081	二组	
生化	蚁人	瑪嘉烈	4054	二组	
生化	美国队长	瑪嘉烈	2966	二组	
生化	二战美队	瑪嘉烈	3831	二组	
生化	电王	瑪嘉烈		二组	
生化	浩克	瑪嘉烈	2765	二组	
生化	灰浩克	瑪嘉烈	3134	二组	
生化	卢克凯奇	瑪嘉烈	2999	二组	
生化	余波	瑪嘉烈	3154	二组	
生化	红浩克	瑪嘉烈		二组	
生化	犀牛	瑪嘉烈	2716	二组	
生化	女浩克	瑪嘉烈	3127	二组	
生化	女蜘蛛	瑪嘉烈	3055	二组	
生化	黑蜘蛛	瑪嘉烈	4082	二组	
生化	黄蜂	瑪嘉烈		二组	
生化	蜘蛛侠	瑪嘉烈	3978	二组	
神秘	多满魔	瑪嘉烈	8108	二组	
神秘	博士	瑪嘉烈	3171	二组	
神秘	巫医	瑪嘉烈		二组	
神秘	恶灵	瑪嘉烈		二组	
